A1 Nouns,A1 Verbs,A1 Adjectives,A1 Adverbs & Others,A2 Nouns,A2 Verbs,A2 Adjectives,A2 Adverbs & Others,B1 Nouns (Complete),B1 Verbs,B1 Adjectives,B1 Adverbs & Others,B2 Nouns,B2 Verbs,B2 Adjectives (A-Z)
,,,,,,,,plasma,,,,Intake,predict,terminal
,,,,,,,,plaster,,,,Integer,preen,terrible
,,,,,,,,plastic,,,,Integration,prefer,terrific
,,,,,,,,plate,,,,Integrity,prefix,territorial
,,,,,,,,plateau,,,,Intellect,prejudice,theoretical
,,,,,,,,platform,,,,Intellectual,preoccupy,thermal
,,,,,,,,platinum,,,,Intelligence,prepare,thick
,,,,,,,,player,,,,Intensity,prescribe,thin
,,,,,,,,play,,,,Intent,present,thirsty
,,,,,,,,playground,,,,Intention,preserve,thorough
,,,,,,,,plea,,,,Interaction,preside,thoughtful
,,,,,,,,pleasant,,,,Interest,press,thoughtless
,,,,,,,,pleasure,,,,Interface,pressure,threatening
,,,,,,,,pledge,,,,Interference,presume,thrift
,,,,,,,,plenty,,,,Interior,presuppose,thrilling
,,,,,,,,plight,,,,Intermediate,pretend,thriving
,,,,,,,,plot,,,,Intern,prevail,tidy
,,,,,,,,plow,,,,Internal,prevent,tight
,,,,,,,,plug,,,,International,preview,timber
,,,,,,,,plum,,,,Internet,prey,timely
,,,,,,,,plumber,,,,Interpretation,price,timid
,,,,,,,,plumbing,,,,Interpreter,prick,tiny
,,,,,,,,plural,,,,Interval,pride,tired
,,,,,,,,plus,,,,Intervention,primary,tiresome
,,,,,,,,plywood,,,,Interview,prime,titular
,,,,,,,,pocket,,,,Interviewer,print,together
,,,,,,,,poem,,,,Intimacy,prioritize,tolerant
,,,,,,,,poet,,,,Introduction,prison,top
,,,,,,,,poetry,,,,Intrusion,private,torn
,,,,,,,,point,,,,Invasion,prize,total
,,,,,,,,poison,,,,Invention,probe,tough
,,,,,,,,poker,,,,Inventor,proceed,toxic
,,,,,,,,polar,,,,Inventory,process,traditional
,,,,,,,,pole,,,,Inverse,proclaim,tragic
,,,,,,,,policeman,,,,Investment,procrastinate,trained
,,,,,,,,police,,,,Investor,procure,transactional
,,,,,,,,policy,,,,Invitation,prod,transcendent
,,,,,,,,polish,,,,Invoice,produce,transitional
,,,,,,,,politeness,,,,Involvement,profess,transparent
,,,,,,,,politician,,,,Iron,profit,treacherous
,,,,,,,,politics,,,,Irony,program,tremendous
,,,,,,,,poll,,,,Irrigation,progress,trendy
,,,,,,,,pollutant,,,,Island,prohibit,trial
,,,,,,,,pollution,,,,Isolation,project,tribal
,,,,,,,,polo,,,,Issue,proliferate,tricky
,,,,,,,,polymer,,,,Item,prolong,trifling
,,,,,,,,pond,,,,Jacket,promenade,trim
,,,,,,,,pony,,,,Jail,promise,triple
,,,,,,,,pool,,,,Jam,promote,trite
,,,,,,,,pope,,,,January,prompt,triumphant
,,,,,,,,popularity,,,,Jar,pronounce,trivial
,,,,,,,,population,,,,Jazz,proof,tropical
,,,,,,,,porch,,,,Jean,propagate,troubled
,,,,,,,,pork,,,,Jelly,propel,troublesome
,,,,,,,,port,,,,Jet,prophesy,TRUE
,,,,,,,,portfolio,,,,Jewel,propose,trustworthy
,,,,,,,,portion,,,,Jewelry,prosecute,truthful
,,,,,,,,portrait,,,,Job,prospect,tubular
,,,,,,,,pose,,,,Jockey,prosper,turbulent
,,,,,,,,position,,,,Joint,prostitute,twin
,,,,,,,,positive,,,,Joke,protect,typical
,,,,,,,,possession,,,,Journal,protest,ubiquitous
,,,,,,,,possessor,,,,Journalism,protract,ugly
,,,,,,,,possibility,,,,Journalist,protrude,ultimate
,,,,,,,,postage,,,,Journey,prove,unacceptable
,,,,,,,,postal,,,,Joy,provide,unaccountable
,,,,,,,,postcard,,,,Judge,provoke,unaccustomed
,,,,,,,,poster,,,,Judgment,prowl,unambiguous
,,,,,,,,postman,,,,Juice,prune,unanimous
,,,,,,,,post,,,,July,pry,unaware
,,,,,,,,postponement,,,,Jump,publicize,unbearable
,,,,,,,,posture,,,,Junction,publish,unbelievable
,,,,,,,,potato,,,,June,pucker,uncertain
,,,,,,,,potential,,,,Jungle,puff,uncomfortable
,,,,,,,,pot,,,,Junior,pull,uncommon
,,,,,,,,pottery,,,,Jurisdiction,pulsate,unconscious
,,,,,,,,poultry,,,,Juror,pulse,unconventional
,,,,,,,,pound,,,,Jury,pulverize,undeniable
,,,,,,,,poverty,,,,Justice,pump,underneath
,,,,,,,,powder,,,,Justification,punch,understandable
,,,,,,,,power,,,,Keenness,punctuate,understood
,,,,,,,,practice,,,,Keep,puncture,undesirable
,,,,,,,,practitioner,,,,Keeper,punish,undisturbed
,,,,,,,,praise,,,,Kernel,purchase,undo
,,,,,,,,prayer,,,,Kettle,purge,uneasy
,,,,,,,,preamble,,,,Key,purify,unemployed
,,,,,,,,precaution,,,,Keyboard,purr,unexpected
,,,,,,,,precision,,,,Kick,purse,unfair
,,,,,,,,predator,,,,Kid,pursue,unfamiliar
,,,,,,,,predecessor,,,,Kidney,push,unfortunate
,,,,,,,,prediction,,,,Killer,put,unhappy
,,,,,,,,preference,,,,Killing,puzzle,unhealthy
,,,,,,,,pregnancy,,,,Kilogram,qualify,uniform
,,,,,,,,prejudice,,,,Kilometer,quantify,unilateral
,,,,,,,,preliminary,,,,Kin,quarrel,unique
,,,,,,,,prelude,,,,Kind,quarry,universal
,,,,,,,,premier,,,,Kindness,quarter,unjust
,,,,,,,,premium,,,,King,quash,unknown
,,,,,,,,preparation,,,,Kingdom,quaver,unlawful
,,,,,,,,preposition,,,,Kiss,quell,unlikely
,,,,,,,,prescription,,,,Kit,quench,unlucky
,,,,,,,,presence,,,,Kitchen,query,unmarried
,,,,,,,,presentation,,,,Kite,quest,unnecessary
,,,,,,,,preservation,,,,Knee,question,unpleasant
,,,,,,,,president,,,,Knife,queue,unpopular
,,,,,,,,presidency,,,,Knight,quibble,unprecedented
,,,,,,,,press,,,,Knitting,quicken,unpredicted
,,,,,,,,pressure,,,,Knob,quiet,unprejudiced
,,,,,,,,prestige,,,,Knock,quit,unprepared
,,,,,,,,prevalence,,,,Knot,quiver,unprofessional
,,,,,,,,prevention,,,,Knowledge,quiz,unprofitable
,,,,,,,,preview,,,,Lab,quote,unrealistic
,,,,,,,,price,,,,Label,race,unreasonable
,,,,,,,,pride,,,,Labor,radiate,unreliable
,,,,,,,,priest,,,,Laboratory,radicalize,unresolved
,,,,,,,,primary,,,,Lace,radio,unrestrained
,,,,,,,,primate,,,,Lack,raffle,unsafe
,,,,,,,,prime,,,,Ladder,rage,unsatisfactory
,,,,,,,,prince,,,,Lady,raid,unsatisfied
,,,,,,,,princess,,,,Lake,rail,unseen
,,,,,,,,principal,,,,Lamb,rain,unselfish
,,,,,,,,principle,,,,Lamp,raise,unsettled
,,,,,,,,printer,,,,Land,rally,unstable
,,,,,,,,printing,,,,Landing,ram,unsuccessful
,,,,,,,,print,,,,Landlord,ramble,unsure
,,,,,,,,priority,,,,Landmark,randomize,untidy
,,,,,,,,prison,,,,Landscape,range,unusual
,,,,,,,,prisoner,,,,Lane,rank,unwanted
,,,,,,,,privacy,,,,Language,ransack,unwelcome
,,,,,,,,private,,,,Lantern,ransom,unwell
,,,,,,,,privilege,,,,Lap,rant,unwilling
,,,,,,,,prize,,,,Laptop,rap,unwise
,,,,,,,,probability,,,,Laser,rape,unworthy
,,,,,,,,probe,,,,Last,rarefy,upbeat
,,,,,,,,problem,,,,Late,ratify,upper
,,,,,,,,procedure,,,,Latitude,ration,upright
,,,,,,,,process,,,,Latter,rationalize,upset
,,,,,,,,processing,,,,Laugh,rattle,urban
,,,,,,,,processor,,,,Laughter,ravage,urgent
,,,,,,,,procession,,,,Launch,rave,usable
,,,,,,,,proctor,,,,Laundry,ravel,used
,,,,,,,,producer,,,,Law,reach,useful
,,,,,,,,product,,,,Lawsuit,react,useless
,,,,,,,,production,,,,Lawyer,read,usual
,,,,,,,,productivity,,,,Lay,readjust,vacant
,,,,,,,,profession,,,,Layer,ready,vague
,,,,,,,,professional,,,,Layout,realize,valid
,,,,,,,,professor,,,,Lead,reap,valuable
,,,,,,,,profile,,,,Leader,rear,vanished
,,,,,,,,profit,,,,Leadership,reason,variable
,,,,,,,,profitability,,,,Leaf,reassure,varied
,,,,,,,,program,,,,Leaflet,rebel,various
,,,,,,,,programming,,,,League,rebound,vast
,,,,,,,,progress,,,,Leak,rebuff,vegetal
,,,,,,,,progression,,,,Leakage,rebuke,vehement
,,,,,,,,prohibition,,,,Lean,recall,verbal
,,,,,,,,project,,,,Leap,recant,versatile
,,,,,,,,projection,,,,Learner,recapitulate,vertical
,,,,,,,,projector,,,,Learning,recede,vested
,,,,,,,,promenade,,,,Lease,receive,vibrant
,,,,,,,,promise,,,,Leather,recess,vicious
,,,,,,,,promotion,,,,Leave,recharge,victorious
,,,,,,,,prompt,,,,Lecture,reciprocate,vigilant
,,,,,,,,pronoun,,,,Lecturer,recite,vigorous
,,,,,,,,proof,,,,Left,reckon,vile
,,,,,,,,propaganda,,,,Leg,reclaim,vintage
,,,,,,,,property,,,,Legacy,recline,violent
,,,,,,,,prophecy,,,,Legal,recognize,virtual
,,,,,,,,prophet,,,,Legend,recoil,virtuous
,,,,,,,,proportion,,,,Legislation,recollect,visible
,,,,,,,,proposal,,,,Legislative,recommend,visual
,,,,,,,,proposition,,,,Legislator,recompense,vital
,,,,,,,,proprietor,,,,Legislature,reconcile,vivid
,,,,,,,,prose,,,,Leisure,recondition,vocal
,,,,,,,,prosecution,,,,Lemon,reconsider,vocational
,,,,,,,,prospect,,,,Length,reconstruct,void
,,,,,,,,prosperity,,,,Lens,record,volatile
,,,,,,,,protection,,,,Lesson,recount,voluntary
,,,,,,,,protein,,,,Letter,recoup,vulnerable
,,,,,,,,protest,,,,Level,recover,wacky
,,,,,,,,protocol,,,,Leverage,recreate,waiting
,,,,,,,,prototype,,,,Liability,recruit,waking
,,,,,,,,proverb,,,,Liberal,rectify,wandering
,,,,,,,,provider,,,,Liberation,recuperate,warm
,,,,,,,,province,,,,Liberty,recur,wary
,,,,,,,,provision,,,,Library,recycle,wasted
,,,,,,,,provocation,,,,License,redact,wasteful
,,,,,,,,proximity,,,,Lid,redden,watchful
,,,,,,,,proxy,,,,Lie,redeem,watery
,,,,,,,,psalm,,,,Life,redefine,weak
,,,,,,,,pseudonym,,,,Lifestyle,redevelop,wealthy
,,,,,,,,psychiatrist,,,,Lifetime,redirect,weary
,,,,,,,,psychiatry,,,,Lift,rediscover,weather
,,,,,,,,psychologist,,,,Light,redo,weekly
,,,,,,,,psychology,,,,Lighthouse,redress,weird
,,,,,,,,puberty,,,,Lighting,reduce,welcome
,,,,,,,,publication,,,,Lightning,redundancy,well
,,,,,,,,publicity,,,,Likelihood,reef,well-known
,,,,,,,,publisher,,,,Limit,refer,west
,,,,,,,,publishing,,,,Limitation,referee,western
,,,,,,,,public,,,,Line,refine,wet
,,,,,,,,puddle,,,,Linear,reflect,wheat
,,,,,,,,puff,,,,Linen,reform,white
,,,,,,,,pull,,,,Link,refrain,whole
,,,,,,,,pulse,,,,Linkage,refresh,wholesome
,,,,,,,,pump,,,,Lion,refrigerate,wicked
,,,,,,,,pumpkin,,,,Lip,refund,wide
,,,,,,,,punch,,,,Liquid,refurbish,widespread
,,,,,,,,punishment,,,,Liquor,refuse,wild
,,,,,,,,pupil,,,,List,refute,willful
,,,,,,,,puppet,,,,Listener,regain,willing
,,,,,,,,purchase,,,,Listening,regard,windy
,,,,,,,,purchaser,,,,Literacy,register,winning
,,,,,,,,pure,,,,Literature,regress,winter
,,,,,,,,purgatory,,,,Litigator,regret,wiry
,,,,,,,,purification,,,,Litter,regulate,wise
,,,,,,,,purity,,,,Little,rehabilitate,wishful
,,,,,,,,purple,,,,Liver,rehearse,witty
,,,,,,,,purpose,,,,Living,reign,woeful
,,,,,,,,purse,,,,Load,reimburse,wonderful
,,,,,,,,pursuit,,,,Loan,rein,wooden
,,,,,,,,push,,,,Lobby,reinforce,woolly
,,,,,,,,pyramid,,,,Local,reinstate,wordy
,,,,,,,,qualification,,,,Locality,reiterate,working
,,,,,,,,quality,,,,Location,reject,world
,,,,,,,,quantity,,,,Lock,rejoice,worldly
,,,,,,,,quarrel,,,,Locomotive,rejoin,worn
,,,,,,,,quarry,,,,Log,rejuvenate,worried
,,,,,,,,quarter,,,,Logic,rekindle,worrying
,,,,,,,,quartet,,,,Logistics,relapse,worse
,,,,,,,,quartz,,,,Logo,relate,worst
,,,,,,,,queen,,,,Lonely,relax,worthy
,,,,,,,,quest,,,,Look,relay,wounded
,,,,,,,,question,,,,Loop,release,woven
,,,,,,,,questionnaire,,,,Lord,relent,wrathful
,,,,,,,,queue,,,,Loss,relieve,wretched
,,,,,,,,quilt,,,,Lot,relinquish,wrong
,,,,,,,,quota,,,,Lottery,relish,wry
,,,,,,,,quotation,,,,Loudness,relocate,yellow
,,,,,,,,quote,,,,Lounge,rely,young
,,,,,,,,rabbit,,,,Love,remain,youthful
,,,,,,,,race,,,,Lover,remake,zealous
,,,,,,,,racism,,,,Low,remand,zero
,,,,,,,,racist,,,,Loyalty,remark,zigzag
,,,,,,,,radar,,,,Luck,remedy,
,,,,,,,,radiation,,,,Luggage,remember,
,,,,,,,,radiator,,,,Lump,remind,
,,,,,,,,radical,,,,Lunch,reminisce,
,,,,,,,,radio,,,,Lung,remit,
,,,,,,,,radish,,,,Luxury,remodel,
,,,,,,,,radius,,,,Machine,remonstrate,
,,,,,,,,raft,,,,Machinery,remorse,
,,,,,,,,rage,,,,Madman,remote,
,,,,,,,,raid,,,,Madness,remount,
,,,,,,,,rail,,,,Magazine,remove,
,,,,,,,,railway,,,,Magic,remunerate,
,,,,,,,,raincoat,,,,Magician,rename,
,,,,,,,,rain,,,,Magistrate,rend,
,,,,,,,,rally,,,,Magnesium,render,
,,,,,,,,ranch,,,,Magnet,rendezvous,
,,,,,,,,range,,,,Magnitude,renew,
,,,,,,,,rank,,,,Maid,renounce,
,,,,,,,,ransom,,,,Mail,renovate,
,,,,,,,,rape,,,,Main,rent,
,,,,,,,,rarity,,,,Mainland,reopen,
,,,,,,,,raspberry,,,,Mainstream,reorganize,
,,,,,,,,rate,,,,Maintenance,repair,
,,,,,,,,rating,,,,Major,repay,
,,,,,,,,ratio,,,,Majority,repeal,
,,,,,,,,ration,,,,Make,repeat,
,,,,,,,,rational,,,,Maker,repel,
,,,,,,,,rattle,,,,Makeup,repent,
,,,,,,,,raven,,,,Making,replace,
,,,,,,,,razor,,,,Male,replenish,
,,,,,,,,reach,,,,Malice,replicate,
,,,,,,,,reaction,,,,Mammal,reply,
,,,,,,,,reactor,,,,Man,report,
,,,,,,,,reader,,,,Management,repose,
,,,,,,,,readiness,,,,Manager,represent,
,,,,,,,,reading,,,,Mandate,repress,
,,,,,,,,realism,,,,Manhattan,reprieve,
,,,,,,,,reality,,,,Manner,reprimand,
,,,,,,,,realization,,,,Manual,reprint,
,,,,,,,,realm,,,,Manufacturer,reproach,
,,,,,,,,rear,,,,Manufacturing,reproduce,
,,,,,,,,reason,,,,Manuscript,reprogram,
,,,,,,,,reasoning,,,,Map,republicize,
,,,,,,,,rebel,,,,Mapping,repudiate,
,,,,,,,,rebellion,,,,Marathon,repugn,
,,,,,,,,receipt,,,,Marble,repulse,
,,,,,,,,receiver,,,,March,repute,
,,,,,,,,reception,,,,Margin,request,
,,,,,,,,receptionist,,,,Marine,require,
,,,,,,,,receptor,,,,Marker,requisite,
,,,,,,,,recess,,,,Market,requisition,
,,,,,,,,recipe,,,,Marketer,requite,
,,,,,,,,recipient,,,,Marketing,rescind,
,,,,,,,,recognition,,,,Marketplace,rescue,
,,,,,,,,recommendation,,,,Marriage,research,
,,,,,,,,reconstruction,,,,Marsh,resemble,
,,,,,,,,record,,,,Marshal,resent,
,,,,,,,,recorder,,,,Martyr,reserve,
,,,,,,,,recording,,,,Mask,reshuffle,
,,,,,,,,recovery,,,,Mass,reside,
,,,,,,,,recreation,,,,Massacre,resign,
,,,,,,,,recruit,,,,Massage,resist,
,,,,,,,,recruitment,,,,Master,resolve,
,,,,,,,,rectangle,,,,Mastery,resonate,
,,,,,,,,redundancy,,,,Mat,resort,
,,,,,,,,reed,,,,Match,resound,
,,,,,,,,reef,,,,Mate,respect,
,,,,,,,,reference,,,,Material,respire,
,,,,,,,,referendum,,,,Maternal,respond,
,,,,,,,,refinement,,,,Math,rest,
,,,,,,,,reflection,,,,Mathematics,restart,
,,,,,,,,reform,,,,Matrix,restate,
,,,,,,,,reformer,,,,Matter,restore,
,,,,,,,,refreshment,,,,Maturity,restrain,
,,,,,,,,refrigerator,,,,Maximum,restrict,
,,,,,,,,refugee,,,,May,restructure,
,,,,,,,,refund,,,,Mayor,result,
,,,,,,,,refusal,,,,Meadow,resume,
,,,,,,,,regard,,,,Meal,resurface,
,,,,,,,,regime,,,,Mean,resurrect,
,,,,,,,,region,,,,Meaning,resuscitate,
,,,,,,,,register,,,,Means,retail,
,,,,,,,,registration,,,,Meantime,retain,
,,,,,,,,registry,,,,Measure,retaliate,
,,,,,,,,regret,,,,Measurement,retard,
,,,,,,,,regular,,,,Meat,retell,
,,,,,,,,regulation,,,,Mechanic,rethink,
,,,,,,,,rehabilitation,,,,Mechanics,retire,
,,,,,,,,rehearsal,,,,Mechanism,retort,
,,,,,,,,reign,,,,Medal,retouch,
,,,,,,,,rejection,,,,Media,retrace,
,,,,,,,,relation,,,,Median,retract,
,,,,,,,,relationship,,,,Mediation,retreat,
,,,,,,,,relative,,,,Mediator,retrieve,
,,,,,,,,relaxation,,,,Medical,retroact,
,,,,,,,,relay,,,,Medicare,return,
,,,,,,,,release,,,,Medication,reunite,
,,,,,,,,relevance,,,,Medicine,reuse,
,,,,,,,,reliability,,,,Meditation,revamp,
,,,,,,,,relief,,,,Medium,reveal,
,,,,,,,,religion,,,,Meeting,revel,
,,,,,,,,remainder,,,,Melody,revenge,
,,,,,,,,remains,,,,Member,reverberate,
,,,,,,,,remark,,,,Membership,revere,
,,,,,,,,remedy,,,,Membrane,reverse,
,,,,,,,,reminder,,,,Memo,revert,
,,,,,,,,remnant,,,,Memoir,review,
,,,,,,,,removal,,,,Memorial,revile,
,,,,,,,,renaissance,,,,Memory,revise,
,,,,,,,,renewal,,,,Men,revisit,
,,,,,,,,rent,,,,Menace,revitalize,
,,,,,,,,rental,,,,Mention,revive,
,,,,,,,,reorganization,,,,Mentor,revoke,
,,,,,,,,repair,,,,Menu,revolt,
,,,,,,,,repayment,,,,Merchant,revolutionize,
,,,,,,,,repeat,,,,Mercy,revolve,
,,,,,,,,replacement,,,,Merit,reward,
,,,,,,,,reply,,,,Message,rework,
,,,,,,,,reporter,,,,Messenger,rhyme,
,,,,,,,,report,,,,Metal,rhythmize,
,,,,,,,,representation,,,,Metaphor,rib,
,,,,,,,,representative,,,,Meter,ride,
,,,,,,,,reproduction,,,,Method,ridicule,
,,,,,,,,republic,,,,Methodology,rifle,
,,,,,,,,reputation,,,,Metric,rig,
,,,,,,,,request,,,,Metropolis,right,
,,,,,,,,requirement,,,,Microbe,ring,
,,,,,,,,rescue,,,,Microphone,rinse,
,,,,,,,,research,,,,Microscope,riot,
,,,,,,,,researcher,,,,Microwave,rip,
,,,,,,,,resemblance,,,,Middle,ripen,
,,,,,,,,reservation,,,,Midnight,rise,
,,,,,,,,reserve,,,,Midst,risk,
,,,,,,,,reservoir,,,,Migrant,ritualize,
,,,,,,,,residence,,,,Migration,rival,
,,,,,,,,resident,,,,Mile,roar,
,,,,,,,,residential,,,,Military,roast,
,,,,,,,,residue,,,,Milk,rob,
,,,,,,,,resignation,,,,Mill,rock,
,,,,,,,,resin,,,,Miller,rocket,
,,,,,,,,resistance,,,,Million,roll,
,,,,,,,,resolution,,,,Mind,romance,
,,,,,,,,resonance,,,,Mine,roof,
,,,,,,,,resort,,,,Miner,room,
,,,,,,,,resource,,,,Mineral,root,
,,,,,,,,respect,,,,Minimum,rope,
,,,,,,,,respiration,,,,Mining,rot,
,,,,,,,,respondent,,,,Minister,rotate,
,,,,,,,,response,,,,Ministry,rough,
,,,,,,,,responsibility,,,,Minority,round,
,,,,,,,,restaurant,,,,Mint,rouse,
,,,,,,,,restoration,,,,Minute,route,
,,,,,,,,restraint,,,,Miracle,row,
,,,,,,,,restriction,,,,Mirror,rub,
,,,,,,,,rest,,,,Missile,ruffle,
,,,,,,,,result,,,,Mission,rug,
,,,,,,,,resume,,,,Missionary,ruin,
,,,,,,,,retail,,,,Mist,rule,
,,,,,,,,retailer,,,,Mistake,rumble,
,,,,,,,,retention,,,,Mix,ruminate,
,,,,,,,,retirement,,,,Mixture,rummage,
,,,,,,,,retort,,,,Moan,rumor,
,,,,,,,,retreat,,,,Mob,run,
,,,,,,,,return,,,,Mobile,rupture,
,,,,,,,,reunion,,,,Mobility,rush,
,,,,,,,,revelation,,,,Mode,rust,
,,,,,,,,revenue,,,,Model,rustle,
,,,,,,,,reverse,,,,Modeling,sabotage,
,,,,,,,,review,,,,Moderate,sack,
,,,,,,,,reviewer,,,,Modernization,sacrifice,
,,,,,,,,revision,,,,Modification,sadden,
,,,,,,,,revival,,,,Module,saddle,
,,,,,,,,revolution,,,,Moisture,safeguard,
,,,,,,,,reward,,,,Mold,sag,
,,,,,,,,rhetoric,,,,Molecule,sail,
,,,,,,,,rhyme,,,,Moment,salt,
,,,,,,,,rhythm,,,,Momentum,salute,
,,,,,,,,rib,,,,Monday,salvage,
,,,,,,,,ribbon,,,,Money,sample,
,,,,,,,,rice,,,,Monitor,sanctify,
,,,,,,,,richness,,,,Monitoring,sanction,
,,,,,,,,rider,,,,Monk,sand,
,,,,,,,,ride,,,,Monkey,sanitize,
,,,,,,,,ridge,,,,Monopoly,sap,
,,,,,,,,ridicule,,,,Monster,satisfy,
,,,,,,,,rifle,,,,Month,saturate,
,,,,,,,,right,,,,Monument,sauce,
,,,,,,,,rig,,,,Mood,save,
,,,,,,,,ring,,,,Moon,savor,
,,,,,,,,riot,,,,Moore,saw,
,,,,,,,,rise,,,,Moral,scale,
,,,,,,,,risk,,,,Morality,scan,
,,,,,,,,ritual,,,,Morning,scandalize,
,,,,,,,,rival,,,,Mortality,scar,
,,,,,,,,rivalry,,,,Mortgage,scare,
,,,,,,,,river,,,,Mosque,scatter,
,,,,,,,,road,,,,Mosquito,scavenge,
,,,,,,,,roar,,,,Mother,scent,
,,,,,,,,roast,,,,Motion,schedule,
,,,,,,,,robbery,,,,Motivation,scheme,
,,,,,,,,robot,,,,Motive,school,
,,,,,,,,rocket,,,,Motor,scoff,
,,,,,,,,rock,,,,Motorcycle,scold,
,,,,,,,,rod,,,,Motorist,scoop,
,,,,,,,,role,,,,Mount,scorch,
,,,,,,,,roller,,,,Mountain,score,
,,,,,,,,roll,,,,Mountaineer,scorn,
,,,,,,,,romance,,,,Mourning,scour,
,,,,,,,,roof,,,,Mouse,scout,
,,,,,,,,room,,,,Mouth,scowl,
,,,,,,,,root,,,,Move,scramble,
,,,,,,,,rope,,,,Movement,scrap,
,,,,,,,,rose,,,,Movie,scrape,
,,,,,,,,rotation,,,,Mud,scratch,
,,,,,,,,round,,,,Mug,scrawl,
,,,,,,,,route,,,,Mule,scream,
,,,,,,,,routine,,,,Multinational,screech,
,,,,,,,,rower,,,,Multiplication,screen,
,,,,,,,,row,,,,Multitude,screw,
,,,,,,,,royalty,,,,Municipal,scribble,
,,,,,,,,rubber,,,,Municipality,scrub,
,,,,,,,,rubbish,,,,Murder,scrutinize,
,,,,,,,,ruby,,,,Murderer,sculpt,
,,,,,,,,rug,,,,Muscle,seal,
,,,,,,,,ruin,,,,Museum,search,
,,,,,,,,rule,,,,Mushroom,season,
,,,,,,,,ruler,,,,Music,seat,
,,,,,,,,rumor,,,,Musical,secede,
,,,,,,,,runner,,,,Musician,second,
,,,,,,,,running,,,,Musk,secrete,
,,,,,,,,run,,,,Muslim,section,
,,,,,,,,rural,,,,Mustard,sector,
,,,,,,,,rush,,,,Mutiny,secure,
,,,,,,,,rust,,,,Mutual,seduce,
,,,,,,,,sack,,,,Mystery,see,
,,,,,,,,sacrament,,,,Myth,seed,
,,,,,,,,sacrifice,,,,Mythology,seek,
,,,,,,,,sadness,,,,Nail,seem,
,,,,,,,,safe,,,,Name,seep,
,,,,,,,,safety,,,,Nap,segment,
,,,,,,,,saffron,,,,Narrative,segregate,
,,,,,,,,sage,,,,Nation,seize,
,,,,,,,,sailor,,,,Nationalism,select,
,,,,,,,,sailing,,,,Nationalist,sell,
,,,,,,,,sail,,,,Nationality,send,
,,,,,,,,saint,,,,Native,sense,
,,,,,,,,salad,,,,Nature,sensitize,
,,,,,,,,salary,,,,Navigation,sentence,
,,,,,,,,sales,,,,Navy,separate,
,,,,,,,,salt,,,,Neck,sequence,
,,,,,,,,salute,,,,Necklace,serve,
,,,,,,,,salvation,,,,Need,service,
,,,,,,,,sample,,,,Needle,set,
,,,,,,,,sanctuary,,,,Negligence,settle,
,,,,,,,,sand,,,,Negotiation,sever,
,,,,,,,,sandal,,,,Negotiator,sew,
,,,,,,,,sandwich,,,,Neighbor,sex,
,,,,,,,,sanity,,,,Neighborhood,shackle,
,,,,,,,,sap,,,,Nerve,shade,
,,,,,,,,satellite,,,,Nest,shadow,
,,,,,,,,satisfaction,,,,Net,shaft,
,,,,,,,,sauce,,,,Network,shake,
,,,,,,,,sausage,,,,Networking,shame,
,,,,,,,,savage,,,,Neutrality,shape,
,,,,,,,,savings,,,,Newcomer,share,
,,,,,,,,saw,,,,News,sharpen,
,,,,,,,,scale,,,,Newsletter,shatter,
,,,,,,,,scandal,,,,Newspaper,shave,
,,,,,,,,scanner,,,,Nicotine,shear,
,,,,,,,,scan,,,,Night,shed,
,,,,,,,,scar,,,,Nightmare,sheer,
,,,,,,,,scarcity,,,,Nitrogen,shell,
,,,,,,,,scarf,,,,Nobel,shelter,
,,,,,,,,scenario,,,,Nobody,shepherd,
,,,,,,,,scene,,,,Noise,shield,
,,,,,,,,scenery,,,,Nomad,shift,
,,,,,,,,scent,,,,Nomination,shimmer,
,,,,,,,,schedule,,,,Nominee,shine,
,,,,,,,,scheme,,,,Noon,ship,
,,,,,,,,scholar,,,,Norm,shirk,
,,,,,,,,scholarship,,,,North,shiver,
,,,,,,,,schooling,,,,Northeast,shock,
,,,,,,,,school,,,,Northwest,shoe,
,,,,,,,,science,,,,Nose,shoot,
,,,,,,,,scientist,,,,Note,shop,
,,,,,,,,scissors,,,,Notebook,shore,
,,,,,,,,scope,,,,Nothing,shorten,
,,,,,,,,score,,,,Notice,shoulder,
,,,,,,,,scorn,,,,Notion,shout,
,,,,,,,,scout,,,,Novel,shove,
,,,,,,,,scrap,,,,Novelist,show,
,,,,,,,,scratch,,,,November,shower,
,,,,,,,,scream,,,,Nucleus,shred,
,,,,,,,,screen,,,,Nuisance,shriek,
,,,,,,,,screening,,,,Number,shrill,
,,,,,,,,screw,,,,Nun,shrimp,
,,,,,,,,script,,,,Nurse,shrink,
,,,,,,,,scripture,,,,Nursery,shrivel,
,,,,,,,,sculpture,,,,Nursing,shroud,
,,,,,,,,sea,,,,Nut,shrug,
,,,,,,,,seafood,,,,Nutrition,shudder,
,,,,,,,,seal,,,,Nylon,shuffle,
,,,,,,,,seam,,,,Oak,shun,
,,,,,,,,search,,,,Oar,shunt,
,,,,,,,,season,,,,Oasis,shut,
,,,,,,,,seat,,,,Oath,shuttle,
,,,,,,,,second,,,,Oats,shy,
,,,,,,,,secondary,,,,Obedience,sicken,
,,,,,,,,secrecy,,,,Object,side,
,,,,,,,,secretary,,,,Objection,sidestep,
,,,,,,,,secret,,,,Objective,sift,
,,,,,,,,section,,,,Obligation,sigh,
